tle_line1,tle_line2
1 22049U 92044A   25085.13784569 -.00000554  00000-0  00000-0 0  9994,2 22049  46.1203   9.4602 5702702 254.0793 358.7259  0.19226704 14903
1 22049U 92044A   25085.13784569 -.00000554  00000-0  00000+0 0  9993,2 22049  46.1203   9.4602 5702702 254.0793 358.7259  0.19226704 14891
1 22049U 92044A   25085.13622623 -.00000554  00000-0  00000-0 0  9996,2 22049  46.1202   9.4595 5701664 254.0842 358.5963  0.19223387 14908
1 22049U 92044A   25085.13622623 -.00000554  00000-0  00000+0 0  9995,2 22049  46.1202   9.4595 5701664 254.0842 358.5963  0.19223387 14896
1   674U 63039A   25085.10805720  .00000134  00000-0  00000+0 0  9998,2   674  46.4861 111.4458 4467857  83.6075   0.8222  0.22202306 49848
1 20413U 83020D   25084.20912726  .00000444  00000-0  00000+0 0  9992,2 20413  78.3048  63.4993 5641101  38.4609 358.4890  0.24722695 24879
1 13901U 83020A   25082.94904166  .00000443  00000-0  00000+0 0  9993,2 13901  79.1612  62.8700 5425023  39.0540 358.6936  0.24280105 50329
1 50000U 70027C   25082.51723126  .00000131  00000-0  00000+0 0  9999,2 50000  38.4923  72.6417 7445220 192.4868 359.6554  0.44283627 89162
1 25867U 99040B   25082.17080418  .00001164  00000-0  00000-0 0  9998,2 25867  47.5274 134.1332 8548683 307.8429   0.4075  0.37802961 15616
1 25867U 99040B   25082.17080418  .00001164  00000-0  00000+0 0  9997,2 25867  47.5274 134.1332 8548683 307.8429   0.4075  0.37802961 26775
1 03956U 69046F   25082.05374734 -.00000201  00000-0  00000-0 0  9992,2 03956  16.1674  29.2156 8091281 266.6317   0.9262  0.46197003 19059
1  3956U 69046F   25082.05169526 -.00000202  00000-0  00000+0 0  9993,2  3956  16.1674  29.2155 8091286 266.6319   0.5851  0.46197008 60067
1 03956U 69046F   25082.05144038 -.00000202  00000-0  00000-0 0  9995,2 03956  16.1675  29.2157 8091275 266.6316   0.5429  0.46197015 19057
1 08748U 76023C   25081.96573723 -.00000537  00000-0  00000-0 0  9999,2 08748  15.7331 343.5093 0096418 182.2716  10.8333  0.19676872  4571
1  8748U 76023C   25081.96573723 -.00000537  00000-0  00000+0 0  9998,2  8748  15.7331 343.5093 0096418 182.2716  10.8333  0.19676872  4560
1  8748U 76023C   25081.75751387 -.00000536  00000-0  00000+0 0  9998,2  8748  15.7340 343.5019 0096062 182.2499 356.1211  0.19677190  4566
1 25989U 99066A   25081.62041684  .00000190  00000-0  00000+0 0  9999,2 25989  66.6367 288.9794 4909015  72.7135 359.9731  0.50135169 35105
1 25989U 99066A   25081.62041684  .00000190  00000-0  00000-0 0  9990,2 25989  66.6367 288.9794 4909015  72.7135 359.9731  0.50135169 20749
